x,y,date,driver_number,led_num
0,0,2023-08-27T12:08:04.174Z,1,97
0,0,2023-08-27T12:08:04.174Z,2,97
0,0,2023-08-27T12:08:04.174Z,4,97
0,0,2023-08-27T12:08:04.174Z,10,97
0,0,2023-08-27T12:08:04.174Z,11,97
0,0,2023-08-27T12:08:04.174Z,14,97
0,0,2023-08-27T12:08:04.174Z,16,97
0,0,2023-08-27T12:08:04.174Z,18,97
0,0,2023-08-27T12:08:04.174Z,20,97
0,0,2023-08-27T12:08:04.174Z,22,97
0,0,2023-08-27T12:08:04.174Z,23,97
0,0,2023-08-27T12:08:04.174Z,24,97
0,0,2023-08-27T12:08:04.174Z,27,97
0,0,2023-08-27T12:08:04.174Z,31,97
0,0,2023-08-27T12:08:04.174Z,40,97
0,0,2023-08-27T12:08:04.174Z,44,97
0,0,2023-08-27T12:08:04.174Z,55,97
0,0,2023-08-27T12:08:04.174Z,63,97
0,0,2023-08-27T12:08:04.174Z,77,97
0,0,2023-08-27T12:08:04.174Z,81,97
0,0,2023-08-27T12:08:04.414Z,1,97
0,0,2023-08-27T12:08:04.414Z,2,97
0,0,2023-08-27T12:08:04.414Z,4,97
0,0,2023-08-27T12:08:04.414Z,10,97
0,0,2023-08-27T12:08:04.414Z,11,97
0,0,2023-08-27T12:08:04.414Z,14,97
0,0,2023-08-27T12:08:04.414Z,16,97
0,0,2023-08-27T12:08:04.414Z,18,97
0,0,2023-08-27T12:08:04.414Z,20,97
0,0,2023-08-27T12:08:04.414Z,22,97
0,0,2023-08-27T12:08:04.414Z,23,97
0,0,2023-08-27T12:08:04.414Z,24,97
0,0,2023-08-27T12:08:04.414Z,27,97
0,0,2023-08-27T12:08:04.414Z,31,97
0,0,2023-08-27T12:08:04.414Z,40,97
0,0,2023-08-27T12:08:04.414Z,44,97
0,0,2023-08-27T12:08:04.414Z,55,97
0,0,2023-08-27T12:08:04.414Z,63,97
0,0,2023-08-27T12:08:04.414Z,77,97
0,0,2023-08-27T12:08:04.414Z,81,97
0,0,2023-08-27T12:08:04.714Z,1,97
0,0,2023-08-27T12:08:04.714Z,2,97
0,0,2023-08-27T12:08:04.714Z,4,97
0,0,2023-08-27T12:08:04.714Z,10,97
0,0,2023-08-27T12:08:04.714Z,11,97
0,0,2023-08-27T12:08:04.714Z,14,97
0,0,2023-08-27T12:08:04.714Z,16,97
0,0,2023-08-27T12:08:04.714Z,18,97
0,0,2023-08-27T12:08:04.714Z,20,97
0,0,2023-08-27T12:08:04.714Z,22,97
0,0,2023-08-27T12:08:04.714Z,23,97
0,0,2023-08-27T12:08:04.714Z,24,97
0,0,2023-08-27T12:08:04.714Z,27,97
0,0,2023-08-27T12:08:04.714Z,31,97
0,0,2023-08-27T12:08:04.714Z,40,97
0,0,2023-08-27T12:08:04.714Z,44,97
0,0,2023-08-27T12:08:04.714Z,55,97
0,0,2023-08-27T12:08:04.714Z,63,97
0,0,2023-08-27T12:08:04.714Z,77,97
0,0,2023-08-27T12:08:04.714Z,81,97
0,0,2023-08-27T12:08:04.974Z,1,97
0,0,2023-08-27T12:08:04.974Z,2,97
0,0,2023-08-27T12:08:04.974Z,4,97
0,0,2023-08-27T12:08:04.974Z,10,97
0,0,2023-08-27T12:08:04.974Z,11,97
0,0,2023-08-27T12:08:04.974Z,14,97
0,0,2023-08-27T12:08:04.974Z,16,97
0,0,2023-08-27T12:08:04.974Z,18,97
0,0,2023-08-27T12:08:04.974Z,20,97
0,0,2023-08-27T12:08:04.974Z,22,97
0,0,2023-08-27T12:08:04.974Z,23,97
0,0,2023-08-27T12:08:04.974Z,24,97
0,0,2023-08-27T12:08:04.974Z,27,97
0,0,2023-08-27T12:08:04.974Z,31,97
0,0,2023-08-27T12:08:04.974Z,40,97
0,0,2023-08-27T12:08:04.974Z,44,97
0,0,2023-08-27T12:08:04.974Z,55,97
0,0,2023-08-27T12:08:04.974Z,63,97
0,0,2023-08-27T12:08:04.974Z,77,97
0,0,2023-08-27T12:08:04.974Z,81,97
0,0,2023-08-27T12:08:05.174Z,1,97
0,0,2023-08-27T12:08:05.174Z,2,97
0,0,2023-08-27T12:08:05.174Z,4,97
0,0,2023-08-27T12:08:05.174Z,10,97
0,0,2023-08-27T12:08:05.174Z,11,97
0,0,2023-08-27T12:08:05.174Z,14,97
0,0,2023-08-27T12:08:05.174Z,16,97
0,0,2023-08-27T12:08:05.174Z,18,97
0,0,2023-08-27T12:08:05.174Z,20,97
0,0,2023-08-27T12:08:05.174Z,22,97
0,0,2023-08-27T12:08:05.174Z,23,97
0,0,2023-08-27T12:08:05.174Z,24,97
0,0,2023-08-27T12:08:05.174Z,27,97
0,0,2023-08-27T12:08:05.174Z,31,97
0,0,2023-08-27T12:08:05.174Z,40,97
0,0,2023-08-27T12:08:05.174Z,44,97
0,0,2023-08-27T12:08:05.174Z,55,97
0,0,2023-08-27T12:08:05.174Z,63,97
0,0,2023-08-27T12:08:05.174Z,77,97
0,0,2023-08-27T12:08:05.174Z,81,97
0,0,2023-08-27T12:08:05.394Z,1,97
0,0,2023-08-27T12:08:05.394Z,2,97
0,0,2023-08-27T12:08:05.394Z,4,97
0,0,2023-08-27T12:08:05.394Z,10,97
0,0,2023-08-27T12:08:05.394Z,11,97
0,0,2023-08-27T12:08:05.394Z,14,97
0,0,2023-08-27T12:08:05.394Z,16,97
0,0,2023-08-27T12:08:05.394Z,18,97
0,0,2023-08-27T12:08:05.394Z,22,97
0,0,2023-08-27T12:08:05.394Z,23,97
0,0,2023-08-27T12:08:05.394Z,24,97
0,0,2023-08-27T12:08:05.394Z,27,97
0,0,2023-08-27T12:08:05.394Z,31,97
0,0,2023-08-27T12:08:05.394Z,40,97
0,0,2023-08-27T12:08:05.394Z,44,97
0,0,2023-08-27T12:08:05.394Z,55,97
0,0,2023-08-27T12:08:05.394Z,63,97
0,0,2023-08-27T12:08:05.394Z,77,97
0,0,2023-08-27T12:08:05.394Z,81,97
0,0,2023-08-27T12:08:05.754Z,1,97
0,0,2023-08-27T12:08:05.754Z,2,97
0,0,2023-08-27T12:08:05.754Z,4,97
0,0,2023-08-27T12:08:05.754Z,10,97
